	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
QD_2104_contig_19195743	4.261423301	2.898356315	1.25675383	3.573980314	8.622040524	2.786423144	0.13518662	2.324855621	2.484570666	7.987873659	2.100511457	11.47669041	2.266111303	1.564781864	1.92292033	3.409358641	7.044821946	7.417803634	2.036914249	2.219044392	2.748265491	6.890775676	5.311444727	5.315825694	0.011395284	2.901618071	0.594950589	26.79781714	23.23631086	18.04596586	3.371771738	3.38762576	6.978223467	4.535545034	4.642667068	6.719770892
QD_2104_contig_19361529||full	13.34896079	6.484211541	7.70728141	8.809797375	3.075774547	0	27.94085259	9.104235407	3.023229528	2.979729939	0	0	11.06050221	10.0181538	12.38523656	0	0	0.106892166	5.599655098	0	0	0	0	0.09073802	28.16298972	34.76862353	0	0	0	0	28.09510732	0	0	0	0	0
QD_2104_contig_19457665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.582068345	3.575265161	0.795404344	10.47022163	12.73401784	9.020805909	18.77385139	24.11711524	13.47324339	24.24763383	34.20689838	15.62231761	0	0	0	0	0	0	0	0	0
QD_2104_contig_19528190	1.602161005	6.970063927	2.930517709	6.496554752	6.964378144	10.4616293	35.02129775	12.15539265	11.51279438	14.03191316	23.02097068	39.14810402	31.85342754	19.18172815	10.53244951	29.08303231	28.76716464	38.01990335	9.136235381	7.624480553	5.892937131	4.483916235	7.379831693	10.53388726	1.448671369	5.741928718	0.690929623	14.67496385	23.5966964	14.90305674	2.144687009	2.465747831	4.367454397	4.06574172	2.018835677	4.55877581
QD_2104_contig_197195||full	19.54795937	26.30796889	20.78228518	22.63386119	22.86017899	17.03191016	39.10080601	22.26066966	17.33086457	16.85118615	19.66276538	20.86994184	35.79100503	31.25729909	30.47610215	19.61887407	22.98269097	28.51406491	20.90330606	21.85595632	14.77565962	11.32729926	11.38541623	19.06895615	21.6913496	23.97135621	26.80852199	11.49695691	17.25647484	11.95515346	22.7754248	20.80751412	9.64358085	9.782580175	10.38192663	7.767570285
QD_2104_contig_19724563||0_partial	2.347534442	1.304915837	3.526240302	0.613483874	1.944819367	0.969145513	3.382449411	4.17058111	0.83081207	2.872796881	1.992449542	9.471888533	2.167095704	3.459345039	6.58637964	8.664764548	7.485651795	4.550726649	0.676157634	0.768899351	1.791913568	9.006310753	11.33823565	6.978616223	3.111147724	1.023188469	0.856645435	22.68521846	11.76041989	16.00048606	3.596810696	1.503062945	22.4433853	20.45263176	16.85266559	15.05651774
QD_2104_contig_19859898	4.547590833	2.839099364	2.861688973	5.905008622	11.18511654	2.886675343	2.802629698	5.611180467	5.752839584	3.121405482	4.21960689	13.68035215	2.947585536	1.394370097	3.457375224	6.415384736	9.785379506	7.93303241	3.183040216	3.187071647	4.825396761	3.322634902	5.470404363	6.531344081	1.581958308	3.317745405	1.44083704	13.46258468	18.89074136	17.98184509	5.858424639	3.945405607	4.212000814	2.422557215	2.94802227	5.386351612
QD_2104_contig_20044789	1.010861889	0.878400121	10.8224527	0.772561675	12.93082263	14.33297354	13.31027619	6.576345396	8.148135242	29.8995788	27.21691524	15.86495079	12.26415158	6.984571153	3.789833598	11.74521312	12.17680469	11.11400495	7.755000608	23.82932881	4.800346056	4.399488832	4.675354977	9.042560778	0.270438689	1.594243147	0.35687085	4.799988266	18.09451581	14.71571431	1.5565999	7.022223169	1.463734548	0.935349707	2.433730486	0.752292116
QD_2104_contig_20285407||full	4.860697326	1.172393509	32.98805184	3.270178256	8.850999446	31.09053619	1.550849519	2.746460206	4.523234173	49.33654672	9.889595672	1.499396795	1.59934563	5.912774702	41.71141368	2.356333904	8.73371746	8.868895163	3.498861682	1.797425737	12.28873894	1.412700442	0.281758673	2.674432917	78.18065292	9.937131764	7.69321223	0	0	0	4.066319474	5.599137392	0	1.142608254	0	0
QD_2104_contig_2055472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.2631379	31.97767407	6.789972546	0	0	0	0	0	0	0	0	0
QD_2104_contig_20621569||full	2.139773497	0.12244521	1.849220291	0.628702195	1.84600058	1.789463478	7.632993886	3.345956999	3.446997706	1.175064609	0	0	6.567409616	5.482887696	3.250063418	0	0	0	4.707778526	0.493722293	0.013901105	0.248690901	0.223974636	0.332190147	69.99663835	56.45332423	3.628843371	0	0	0	18.98449266	0	0	0	0	0
QD_2104_contig_20628386||full	5.106625264	16.88042372	9.23252433	8.93385257	3.413180591	4.140995915	3.602589816	2.775463866	6.761474385	11.10092925	23.72677695	20.56094803	8.056702034	9.34640493	11.03931003	23.01896982	12.54504743	3.548023371	6.835805762	11.83220507	6.260948567	2.263412249	1.723679257	1.546896064	2.32851864	4.090651056	4.372047214	1.810612815	5.64841046	6.976034897	7.148904388	4.683077694	0.678110815	0.984779577	1.434220959	0.253785177
